conference	paper_title	doi	author	author_url	author_position
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Learning a Deep Listwise Context Model for Ranking Refinement	10.1145/3209978.3209985	W. Bruce Croft	https://dl.acm.org/author_page.cfm?id=81100652508	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Efficient Exploration of Gradient Space for Online Learning to Rank	10.1145/3209978.3210045	Huazheng Wang	https://dl.acm.org/author_page.cfm?id=99659048949	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Efficient Exploration of Gradient Space for Online Learning to Rank	10.1145/3209978.3210045	Ramsey Langley	https://dl.acm.org/author_page.cfm?id=99659281117	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Efficient Exploration of Gradient Space for Online Learning to Rank	10.1145/3209978.3210045	Sonwoo Kim	https://dl.acm.org/author_page.cfm?id=99659281227	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Efficient Exploration of Gradient Space for Online Learning to Rank	10.1145/3209978.3210045	Eric McCord-Snook	https://dl.acm.org/author_page.cfm?id=99659281377	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Efficient Exploration of Gradient Space for Online Learning to Rank	10.1145/3209978.3210045	Hongning Wang	https://dl.acm.org/author_page.cfm?id=81466648782	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Selective Gradient Boosting for Effective Learning to Rank	10.1145/3209978.3210048	Claudio Lucchese	https://dl.acm.org/author_page.cfm?id=81324491771	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Selective Gradient Boosting for Effective Learning to Rank	10.1145/3209978.3210048	Franco Maria Nardini	https://dl.acm.org/author_page.cfm?id=81361608198	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Selective Gradient Boosting for Effective Learning to Rank	10.1145/3209978.3210048	Raffaele Perego	https://dl.acm.org/author_page.cfm?id=81100009930	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Selective Gradient Boosting for Effective Learning to Rank	10.1145/3209978.3210048	Salvatore Orlando	https://dl.acm.org/author_page.cfm?id=81100280273	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Selective Gradient Boosting for Effective Learning to Rank	10.1145/3209978.3210048	Salvatore Trani	https://dl.acm.org/author_page.cfm?id=84459806657	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 2A: Sentiment & Opinion	10.1145/3258672	Min Zhang	https://dl.acm.org/author_page.cfm?id=99659281904	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Explainable Recommendation via Multi-Task Learning in Opinionated Text Data	10.1145/3209978.3210010	Nan Wang	https://dl.acm.org/author_page.cfm?id=99659281331	1
